"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","stop_url","location_type","parent_station","wheelchair_boarding"
98012,"98012","Redlica Rondo nż 12","na żądanie",53.458393,14.420910,"http://www.zditm.szczecin.pl/s98012",,,
98111,"98111","Redlica nż 11","na żądanie",53.457549,14.424938,"http://www.zditm.szczecin.pl/s98111",,,
98112,"98112","Redlica nż 12","na żądanie",53.457519,14.424853,"http://www.zditm.szczecin.pl/s98112",,,
98311,"98311","Buk Skrzyżowanie nż 11","na żądanie",53.494657,14.357282,"http://www.zditm.szczecin.pl/s98311",,,
98312,"98312","Buk Skrzyżowanie nż 12","na żądanie",53.494608,14.357235,"http://www.zditm.szczecin.pl/s98312",,,
98411,"98411","Buk Kościół 11","",53.498217,14.355035,"http://www.zditm.szczecin.pl/s98411",,,
98412,"98412","Buk Kościół 12","",53.498135,14.355000,"http://www.zditm.szczecin.pl/s98412",,,
98511,"98511","Buk Boisko nż 11","na żądanie",53.503032,14.353213,"http://www.zditm.szczecin.pl/s98511",,,
98512,"98512","Buk Boisko nż 12","na żądanie",53.503028,14.353137,"http://www.zditm.szczecin.pl/s98512",,,
98611,"98611","Łęgi Skrzyżowanie nż 11","na żądanie",53.517208,14.350612,"http://www.zditm.szczecin.pl/s98611",,,
98612,"98612","Łęgi Skrzyżowanie nż 12","na żądanie",53.517147,14.350547,"http://www.zditm.szczecin.pl/s98612",,,
98711,"98711","Łęgi Wieś 11","",53.519093,14.360248,"http://www.zditm.szczecin.pl/s98711",,,
98811,"98811","Rzędziny 11","",53.534168,14.334965,"http://www.zditm.szczecin.pl/s98811",,,
98911,"98911","Rzędziny Szkoła 11","",53.532332,14.333729,"http://www.zditm.szczecin.pl/s98911",,,
98912,"98912","Rzędziny Szkoła 12","",53.532346,14.333653,"http://www.zditm.szczecin.pl/s98912",,,
99011,"99011","Stolec Górka nż 11","na żądanie",53.551233,14.309833,"http://www.zditm.szczecin.pl/s99011",,,
99012,"99012","Stolec Górka nż 12","na żądanie",53.551253,14.309755,"http://www.zditm.szczecin.pl/s99012",,,
99111,"99111","Stolec 11","",53.557051,14.313856,"http://www.zditm.szczecin.pl/s99111",,,
99311,"99311","Grzepnica Alabastrowa nż 11","na żądanie",53.510732,14.409777,"http://www.zditm.szczecin.pl/s99311",,,
99312,"99312","Grzepnica Alabastrowa nż 12","na żądanie",53.509962,14.408821,"http://www.zditm.szczecin.pl/s99312",,,
99411,"99411","Dobra Lazurowa nż 11","na żądanie",53.469326,14.388502,"http://www.zditm.szczecin.pl/s99411",,,
99412,"99412","Dobra Lazurowa nż 12","na żądanie",53.468697,14.388302,"http://www.zditm.szczecin.pl/s99412",,,
99511,"99511","Dobra Wiklinowa nż 11","na żądanie",53.479703,14.388916,"http://www.zditm.szczecin.pl/s99511",,,
99512,"99512","Dobra Wiklinowa nż 12","na żądanie",53.479235,14.389054,"http://www.zditm.szczecin.pl/s99512",,,
99611,"99611","Kamionki nż 11","na żądanie",53.314573,14.450996,"http://www.zditm.szczecin.pl/s99611",,,
99612,"99612","Kamionki nż 12","na żądanie",53.314630,14.451291,"http://www.zditm.szczecin.pl/s99612",,,
99711,"99711","Bezrzecze Wilanowska nż 11","na żądanie",53.455222,14.450485,"http://www.zditm.szczecin.pl/s99711",,,
99712,"99712","Bezrzecze Wilanowska nż 12","na żądanie",53.455392,14.451535,"http://www.zditm.szczecin.pl/s99712",,,
99811,"99811","Dobra Stokrotki nż 11","na żądanie",53.494736,14.388830,"http://www.zditm.szczecin.pl/s99811",,,
99812,"99812","Dobra Stokrotki nż 12","na żądanie",53.495468,14.389469,"http://www.zditm.szczecin.pl/s99812",,,
99911,"99911","Dołuje Zimowy Sad nż 11","na żądanie",53.442879,14.409803,"http://www.zditm.szczecin.pl/s99911",,,
99912,"99912","Dołuje Zimowy Sad nż 12","na żądanie",53.441785,14.409720,"http://www.zditm.szczecin.pl/s99912",,,
